"Entry ID","Lemma ID","Code (survey)","Batch (survey)","List (survey)","Item (survey)","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Sign Unknown","Frequency (Native)","Frequency SD (Native)","Frequency Z (Native)","Frequency N (Native)","Sign Unknown (Native) (proportion)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency Z (Nonnative)","Frequency N (Nonnative)","Sign Unknown (Nonnative) (proportion)","Dominant Translation","Dominant Translation Agreement (proportion)","Dominant Translation Agreement (Native) (proportion)","Dominant Translation Agreement (Nonnative) (proportion)","Nondominant Translations","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity ID","Deaf Signer Iconicity","Deaf Signer Iconicity SD","Deaf Signer Iconicity Z","Deaf Signer Iconicity N","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","Consistency of Guesses","Accuracy of Guesses (proportion)","Transparency","Transparency SD","Transparency Z","Lexical Class","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Sign Onset","Sign Offset","Sign Duration","Video Duration","Handshape","Selected Fingers","Flexion","Flexion Change","Spread","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape Morpheme 2","Selected Fingers Morpheme 2","Flexion Morpheme 2","Flexion Change Morpheme 2","Spread Morpheme 2","Spread Change Morpheme 2","Thumb Position Morpheme 2","Thumb Contact Morpheme 2","Sign Type Morpheme 2","Movement Morpheme 2","Repeated Movement Morpheme 2","Major Location Morpheme 2","Minor Location Morpheme 2","Second Minor Location Morpheme 2","Contact Morpheme 2","Nondominant Handshape Morpheme 2","Wrist Twist Morpheme 2","Handshape Morpheme 3","Selected Fingers Morpheme 3","Flexion Morpheme 3","Flexion Change Morpheme 3","Spread Morpheme 3","Spread Change Morpheme 3","Thumb Position Morpheme 3","Thumb Contact Morpheme 3","Signtype Morpheme 3","Movement Morpheme 3","Repeated Movement Morpheme 3","Major Location Morpheme 3","Minor Location Morpheme 3","Second Minor Location Morpheme 3","Contact Morpheme 3","Nondominant Handshape Morpheme 3","Wrist Twist Morpheme 3","Handshape Morpheme 4","Selected Fingers Morpheme 4","Flexion Morpheme 4","Flexion Change Morpheme 4","Spread Morpheme 4","Spread Change Morpheme 4","Thumb Position Morpheme 4","Thumb Contact Morpheme 4","Sign Type Morpheme 4","Movement Morpheme 4","Repeated Movement Morpheme 4","Major Location Morpheme 4","Minor Location Morpheme 4","Second Minor Location Morpheme 4","Contact Morpheme 4","Nondominant Handshape Morpheme 4","Wrist Twist Morpheme 4","Handshape Morpheme 5","Selected Fingers Morpheme 5","Flexion Morpheme 5","Flexion Change Morpheme 5","Spread Morpheme 5","Spread Change Morpheme 5","Thumb Position Morpheme 5","Thumb Contact Morpheme 5","Sign Type Morpheme 5","Movement Morpheme 5","Repeated Movement Morpheme 5","Major Location Morpheme 5","Minor Location Morpheme 5","Second Minor Location Morpheme 5","Contact Morpheme 5","Nondominant Handshape Morpheme 5","Wrist Twist Morpheme 5","Handshape Morpheme 6","Selected Fingers Morpheme 6","Flexion Morpheme 6","Flexion Change Morpheme 6","Spread Morpheme 6","Spread Change Morpheme 6","Thumb Position Morpheme 6","Thumb Contact Morpheme 6","Sign Type Morpheme 6","Movement Morpheme 6","Repeated Movement Morpheme 6","Major Location Morpheme 6","Minor Location Morpheme 6","Second Minor Location Morpheme 6","Contact Morpheme 6","Nondominant Handshape Morpheme 6","Wrist Twist Morpheme 6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotation Frequency","Neighborhood Density","Parameter Neighborhood Density","Phonotactic Probability","Phonological Complexity","SignBank Semantic Field","SignBank Reference ID","In CDI","CDI Semantic Category","Age Of Acquisition","Age Of Acquisition (Empirical)","Handshape Image"
"socks","socks","A_03_033","A","3","33","2.97","5.12","1.394","0.6","25","0","5.133","1.187","0.635","15","0","5.1","1.729","10","0.547","0","socks","1","1","1","N/A","1.524","0.873","-0.943","21","N/A","1.52","0.93","31","-0.91","1.47","1.02","-0.87","19","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","300","1001","701","1235","1","i","Fully Open","0","N/A","N/A","Closed","0","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","1","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.457","0.261","0.409","0.791","0.446","0.622","0","0","0.684","0.343","0.836","10","563","0.266","1","None","1093","Yes","Clothing","25","18","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"soda","soda","C_03_030","C","3","30","3.006","4.533","1.756","0.13","30","0","4.556","1.653","0.021","18","0","4.5","1.977","12","0.294","0","N/A","N/A","N/A","N/A","N/A","2.361","1.641","-0.284","36","N/A","2.27","1.6","30","-0.35","2.52","1.72","-0.27","21","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","667","1602","934","2503","open_8","m","Flat","1","N/A","N/A","Open","0","Asymmetrical Different Handshape","Back And Forth","0","Hand","Finger Radial","Hand Away","1","S","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.035","0.155","0.026","0.045","0.162","0.209","0.554","0.622","0","0","0.684","0.657","0.836","0","56","-0.411","5","None","357","Yes","Food and Drink","46","39","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_8.png"" />"
"sofa","sofa","G_03_006","G","3","6","2.477","3.963","1.743","-0.115","27","0","4.417","1.505","0.116","12","0","3.6","1.882","15","-0.3","0","N/A","N/A","N/A","N/A","N/A","1.8","1.576","-0.708","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","434","1368","934","1935","bent_v","im","Bent","0","1","0","Closed","0","Symmetrical Or Alternating","Straight","0","Neutral","Neutral","Neutral","1","bent_v","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.457","0.14","0.099","0.791","0.554","0.622","0.398","0.878","0.684","0.343","0.836","4","455","0.438","2","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_v.png"" />"
"soft","soft","E_03_013","E","3","13","3.213","4.467","1.676","0.122","30","0","5.143","1.351","0.468","14","0","3.875","1.746","16","-0.18","0","N/A","N/A","N/A","N/A","N/A","2.719","1.42","-0.386","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","534","1335","801","1869","flatspread_5","imrp","Flat","1","1","1","Open","1","Symmetrical Or Alternating","None","1","Neutral","Neutral","N/A","0","flatspread_5","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0","0.153","0.449","0.162","0.209","0.446","0.378","0.398","0.122","0.316","0.657","0.836","0","147","-0.185","1","Attribute","542","Yes","Descriptive Signs","33","19","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />"
"softball","softball","G_01_030","G","1","30","2.064","4.741","1.534","0.273","27","0","4.75","1.357","0.283","12","0","4.733","1.71","15","0.265","0","N/A","N/A","N/A","N/A","N/A","4.448","1.764","0.457","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","534","1134","601","1668","curved_5","imrp","Curved","0","1","0","Open","0","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","1","curved_5","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.457","0.449","0.225","0.791","0.446","0.622","0.398","0.878","0.684","0.657","0.836","14","512","0.636","1","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />"
"some","some","B_01_020","B","1","20","4.945","5.625","1.408","0.616","24","0","5.714","1.684","0.607","14","0","5.5","0.972","11","0.628","0","N/A","N/A","N/A","N/A","N/A","2.259","1.259","-0.294","27","N/A","2.48","1.31","31","-0.21","2.55","1.41","-0.13","22","1.41","0","4.58","1.43","0.52","Minor","0","0","0","1","467","868","400","1535","open_b","imrp","Fully Open","0","0","0","Open","0","Asymmetrical Same Handshape","Straight","0","Hand","Palm","Palm","1","open_b","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.059","0.25","0.077","0.025","0.457","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","17","459","0.379","1","None","264","Yes","Quantifiers","39","34","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
"somersault_1","somersault","J_02_012","J","2","12","1.415","3.034","1.822","-0.626","30","0.033","3.143","1.834","-0.639","15","0.067","2.933","1.87","15","-0.614","0","roll","0.448","0.5","0.4","flip, roll, rumbling, sign","5.52","1.194","1.175","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","434","1969","1535","2402","1","i","Fully Open","0","N/A","N/A","Closed","0","Symmetrical Or Alternating","Circular","1","Neutral","Neutral","Neutral","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.076","0.261","0.409","0.791","0.446","0.378","0","0","0.684","0.343","0.836","12","177","-0.031","2","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"somersault_2","somersault_2","K_02_118","K","2","118","1.415","2.05","0.945","-1.125","25","0.2","1.8","0.632","-1.023","11","0.091","2.3","1.16","14","-1.228","0.286","somersault_2","0.4","0.5","0.3","fall, flip, gymnastics, trampoline, tumble","3.25","1.775","-0.156","24","SOMERSAULT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","467","1802","1335","2402","curved_v","im","Curved","0","1","0","Closed","0","Asymmetrical Different Handshape","Other","1","Hand","Hand Away","Hand Away","0","B","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.035","0.155","0.017","0.14","0.225","0.791","0.446","0.378","0.398","0.878","0.684","0.343","0.164","0","21","-0.565","5","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/curved_v.png"" />"
"somersault_3","somersault_3","K_03_064","K","3","64","1.415","2.889","1.676","-0.726","25","0.28","2.167","0.753","-0.82","11","0.455","3.25","1.913","14","-0.68","0.143","N/A","N/A","N/A","N/A","N/A","2.76","1.786","-0.53","25","SOMERSAULT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","534","1802","1268","2336","open_8","m","Flat","0","N/A","N/A","Open","0","Symmetrical Or Alternating","Circular","1","Neutral","Neutral","Neutral","0","open_8","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.076","0.045","0.162","0.791","0.446","0.378","0","0","0.684","0.657","0.836","6","97","-0.098","3","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_8.png"" />"
"something","something","G_01_009","G","1","9","4.884","6","1.209","0.978","27","0","6","1.128","1.012","12","0","6","1.309","15","0.951","0","N/A","N/A","N/A","N/A","N/A","2.167","1.487","-0.693","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Minor","0","0","0","1","434","1535","1101","1969","1","i","Fully Open","0","N/A","N/A","Closed","0","One Handed","Circular","1","Neutral","Neutral","Neutral","0","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.363","0.363","0.426","0.076","0.261","0.409","0.791","0.446","0.378","0","0","0.684","0.343","0.836","12","177","-0.003","2","None","2488","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"sometimes","sometimes","E_02_038","E","2","38","3.96","5.813","1.061","0.85","32","0","6","1","0.95","15","0","5.647","1.115","17","0.763","0","N/A","N/A","N/A","N/A","N/A","2.133","1.655","-0.786","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Minor","0","0","0","1","501","1635","1134","2069","1","i","Fully Open","0","N/A","N/A","Closed","0","Asymmetrical Different Handshape","Curved","1","Hand","Palm","Hand Away","1","B","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.077","0.155","0.233","0.261","0.409","0.791","0.446","0.622","0","0","0.684","0.343","0.836","8","253","-0.237","3","None","1094","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
"son","son","B_02_086","B","2","86","4.321","4.88","1.922","0.157","25","0","5.143","2.07","0.298","14","0","4.545","1.753","11","-0.023","0","N/A","N/A","N/A","N/A","N/A","2.2","1.375","-0.269","30","N/A","1.55","0.96","31","-0.71","1.5","1.01","-0.7","22","2.46","0","2.2","0.95","-1","Noun","0","0","1","2","901","1502","601","2135","closed_b","imrp","Fully Open","0","0","0","Closed","0","One Handed","None","0","Head","Forehead","N/A","1","N/A","0","open_b","imrp","FullyOpen","0","0","0","Open","0","One Handed","None","N/A","Arm","Elbow Front","N/A","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.039","0","0.153","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","3","236","0.298","0","People","1095","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />"
"soon_1","soon_1","G_01_004","G","1","4","4.119","6.259","1.43","1.122","27","0","6","1.954","1.014","12","0","6.467","0.834","15","1.209","0","N/A","N/A","N/A","N/A","N/A","1.833","1.416","-0.844","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","467","1268","801","1802","f","i","Curved","0","N/A","N/A","Open","1","One Handed","Straight","1","Head","Chin","N/A","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.037","0","0.457","0.261","0.225","0.791","0.446","0.622","0","0","0.316","0.657","0.836","7","364","-0.136","1","None","266","Yes","Signs About Time","31","16","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />"
"soon_3","soon_3","H_03_023","H","3","23","4.119","3.963","1.85","-0.086","28","0.036","3.929","1.9","-0.123","14","0","4","1.871","14","-0.046","0.071","soon","0.556","0.571","0.538","poop, reek, smell bad, stink","1.458","0.833","-0.84","24","soon","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","534","1335","801","1768","f","i","Curved","0","N/A","N/A","Open","1","One Handed","Straight","1","Head","Cheek Nose","N/A","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.035","0","0.457","0.261","0.225","0.791","0.446","0.622","0","0","0.316","0.657","0.836","9","364","-0.137","1","None","268","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />"
"sophisticated","sophisticated","G_02_083","G","2","83","2.54","4.37","1.621","0.068","27","0","4.417","1.564","0.13","12","0","4.333","1.718","15","0.019","0","snob","0.741","0.833","0.667","posh, snotty, sophisticated, stuck up","2.355","1.38","-0.582","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","534","1168","634","1802","horns","mr","Curved","0","0","0","Open","1","One Handed","Curved","1","Head","Cheek Nose","Head Away","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.035","0.178","0.233","0.002","0.225","0.791","0.446","0.622","0.602","0.878","0.316","0.657","0.836","1","126","0.008","3","Attribute","3129","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/horns.png"" />"
"sophomore","sophomore","J_01_107","J","1","107","2.167","3.241","1.976","-0.549","30","0.033","3","1.881","-0.721","15","0.067","3.467","2.1","15","-0.388","0","N/A","N/A","N/A","N/A","N/A","1.292","0.55","-0.861","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","734","1468","734","1969","1","i","Fully Open","1","N/A","N/A","Closed","0","Asymmetrical Different Handshape","Straight","1","Hand","Finger Tip","N/A","1","5","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.023","0","0.457","0.261","0.409","0.209","0.446","0.622","0","0","0.684","0.343","0.836","0","446","-0.36","2","Attribute","1096","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
