puzzling, not clear to the understanding,https://www.youtube.com/watch?v=dheIfBxoWPo
putterer, a person who putters about,https://www.youtube.com/watch?v=XpeCZxiJ4cI
pursuance, the continuance of something begun with a view to its completion,https://www.youtube.com/watch?v=AxDq2UF0maA
put-on-makeup,,https://media.signbsl.com/videos/asl/startasl/mp4/put-on-makeup.mp4
put-on-hood,,https://media.signbsl.com/videos/asl/youtube/mp4/B2PhakH2ASM.mp4
puzzlement, confusion resulting from failure to understand,https://www.youtube.com/watch?v=ZI1DNid_A4Y
put-one-across, fool or hoax,https://www.youtube.com/watch?v=RJ0Uo53olSg
put-one-across, fool or hoax,https://www.youtube.com/watch?v=mJuwfZ-HdLU
put-in, set up for use,https://media.signbsl.com/videos/asl/aslsignbank/mp4/MOVE-528.mp4
put-in, break into a conversation,https://player.vimeo.com/external/391213445.sd.mp4
put-in, to insert between other elements,https://www.youtube.com/watch?v=5w1XTu9b2KI
put-in, break into a conversation,https://www.youtube.com/watch?v=ftkMwhaBGM8
put-in, introduce,https://www.youtube.com/watch?v=Pzvi97Ayh7Y
put-in, set up for use,https://www.youtube.com/watch?v=U50II5NkRFc
put-in, break into a conversation,https://player.vimeo.com/external/391915369.sd.mp4
purser, an officer aboard a ship who keeps accounts and attends to the passengers' welfare,https://www.youtube.com/watch?v=uRe_ag46tI0
put-in-for,,https://www.youtube.com/watch?v=YkfVHDMRqog
pursuit, a diversion that occupies one's time and thoughts (usually pleasantly),https://www.youtube.com/watch?v=FrGpAmMYwo4
put-forward, evoke or call forth with or as if by magic,https://www.youtube.com/watch?v=UikImwmXRjE
put-forward, evoke or call forth with or as if by magic,https://www.youtube.com/watch?v=d7yeNWDpuXU
put-forward, evoke or call forth with or as if by magic,https://player.vimeo.com/external/392476888.sd.mp4
put-their-heads-out,,https://www.youtube.com/watch?v=VURXQBsGUwc
put-behind-bars, lock up or confine in or as in a jail,https://media.signbsl.com/videos/asl/unoclimb/mp4/TqvDA0-U-Wo.mp4
put-behind-bars, lock up or confine in or as in a jail,https://www.youtube.com/watch?v=hR2o9dzC9iQ
put-behind-bars, lock up or confine in or as in a jail,https://www.youtube.com/watch?v=up5mLMKz39A
put-across, transmit information ,https://media.signbsl.com/videos/asl/aslsignbank/mp4/DISCOURSE-1260.mp4
put-across, transmit information ,https://www.youtube.com/watch?v=EyA4einfsX8
put-across, transmit information ,https://player.vimeo.com/external/392386237.sd.mp4
put-across, transmit information ,https://media.signbsl.com/videos/asl/aslsignbank/mp4/COMMUNICATION-1108.mp4
put-across, transmit information ,https://player.vimeo.com/external/391907346.sd.mp4
pyjamas, loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers,https://www.youtube.com/watch?v=RZ8tVp_dV1Y
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=3bZrj2Yi5kA
put-off, hold back to a later time,https://www.youtube.com/watch?v=i8gGozkml1k
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=lAg1l4_PVTQ
put-off, hold back to a later time,https://www.youtube.com/watch?v=PagZ0q59uC4
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=5AGTTtWT8wo
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=Qnlnua7-N0Y
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=O0uBVE3_OxQ
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=tVkSgOZqRRM
put-off, hold back to a later time,https://www.youtube.com/watch?v=IisAMGXC2mc
put-off, avoid or try to avoid fulfilling answering or performing (duties questions or issues),https://www.youtube.com/watch?v=krN2tHu9lyg
put-off, hold back to a later time,https://player.vimeo.com/external/391919260.sd.mp4
putting-iron, the iron normally used on the putting green,https://www.youtube.com/watch?v=IXlMGlV85-E
putz, obscene terms for penis,https://www.youtube.com/watch?v=Pog2SF7I4FA
putz, obscene terms for penis,https://media.signbsl.com/videos/asl/valleybible/mp4/Peter.mp4
putz, obscene terms for penis,https://www.youtube.com/watch?v=IIMccogsVUA
putting, hitting a golf ball on the putting surface with a putter,https://www.youtube.com/watch?v=NBGGLOVsm6g
push-on, continue moving forward,https://www.youtube.com/watch?v=I7YoO_kdOjU
push-around, be bossy towards,https://www.youtube.com/watch?v=I_iho4GAhTw
push-around, be bossy towards,https://www.youtube.com/watch?v=lH-pq5r7XSU
put-her-head-out,,https://www.youtube.com/watch?v=P3k6gp_1Qas
putt, hitting a golf ball on the putting surface with a putter,https://www.youtube.com/watch?v=NBGGLOVsm6g
put, put into a certain place or abstract location,https://media.signbsl.com/videos/asl/youtube/mp4/Ttdmq-NBTZk.mp4
put, make an investment,https://www.youtube.com/watch?v=br_KtfWILTo
put, make an investment,https://media.signbsl.com/videos/asl/youtube/mp4/V_TEwL5C9Y0.mp4
put, make an investment,https://www.youtube.com/watch?v=NoAErgAtnyg
put, put into a certain place or abstract location,https://media.signbsl.com/videos/asl/youtube/mp4/VVlU2x8X3l8.mp4
put, put into a certain place or abstract location,https://www.youtube.com/watch?v=3z9PqJ71rC8
put, make an investment,https://www.youtube.com/watch?v=ybD2UcoC4C0
put, put into a certain place or abstract location,https://www.youtube.com/watch?v=cEsRfJx3pnc
put, put into a certain place or abstract location,https://media.signbsl.com/videos/asl/aslbricks/mp4/put.mp4
put, make an investment,https://www.youtube.com/watch?v=gIGNjbX02-I
put, put into a certain place or abstract location,https://www.youtube.com/watch?v=aw_HYjC3f7o
put, make an investment,https://media.signbsl.com/videos/asl/youtube/mp4/hIIEGp4bSeY.mp4
put, make an investment,https://www.youtube.com/watch?v=Lp6fbKxQOGc
put, put into a certain place or abstract location,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/put.mp4
put, make an investment,https://media.signbsl.com/videos/asl/youtube/mp4/EWMH5UTyQ84.mp4
put, make an investment,https://media.signbsl.com/videos/asl/startasl/mp4/invest.mp4
put, make an investment,https://www.youtube.com/watch?v=zJpBTspZvz0
put, put into a certain place or abstract location,https://www.youtube.com/watch?v=pNT1AZ9YC2s
put, put into a certain place or abstract location,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LAY-DOWN-1686.mp4
pussycat, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=_khxJikfLuc
pussycat, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=oURMtbnjFck
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/work.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/youtube/mp4/WFCp1oHbazA.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://www.youtube.com/watch?v=pDRfD3bNsEo
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/youtube/mp4/cJ8HOKaGrlA.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/deaftec-math/mp4/113D-1.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://www.youtube.com/watch?v=dsZQRTrQjiE
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/youtube/mp4/ZfIscIu5bxo.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/youtube/mp4/aicBaQuZmP0.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/work.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://player.vimeo.com/external/392633475.sd.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/tsdvideo/mp4/868.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/solve.mp4
puzzle-out, find the solution to (a problem or question) or understand the meaning of,https://media.signbsl.com/videos/asl/youtube/mp4/hQKYeuN5tMI.mp4
